protocol,swaps_hash,swaps_timestamp,to,from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
UniswapV3,0x000034163ea8832657dfa1545d5cc79c0c04f4b57399245793cd8fb9462cd40c,1696216703,0x46187698198fa02f071d999347fe0db2ee79934b,,18260111,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,336928005871767781376,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4447162180608920303,7739.014460844296,7669.707075732611,0xe42318ea3b998e8355a3da364eb9d48ec725eb45
UniswapV3,0x00011ca55486fa0067189c15f01b2afb2de705714799e8fd281dc6ae574f2170,1696206347,0x4628e4b320da8dc3744b94408717aea530b4ddda,,18259251,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1000000,2e-06,1.7303285309062972e-09,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
UniswapV3,0x0001338d3862919778613169b8c81030fee094ec592115201d0d5a893ef000ee,1696205003,0x1c09a10047fcc944efde9226e259eddfde2c1cf0,,18259140,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,81427474237976577925,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,141120348173,141136.89970579234,141120.348173,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
UniswapV3,0x00020b4d3a034421d88ef8035e3cc8fc661c655d3d32681da2b7f2f85140be5b,1696203611,0xba8bf5b27015102385b42bb7d619196b66006f72,,18259024,0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE,3000000000000000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1403408918136490944,2431.9265567066655,2427.945139744268,0x11950d141ecb863f01007add7d1a342041227b58
UniswapV3,0x00020b4d3a034421d88ef8035e3cc8fc661c655d3d32681da2b7f2f85140be5b,1696203611,0xba8bf5b27015102385b42bb7d619196b66006f72,,18259024,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1403408918136490944,0x423f4e6138e475d85cf7ea071ac92097ed631eea,PNDC,1393279456955793522401401504,2427.945139744268,2408.858874836473,0xa06591252908576a0f64a8560ec0c8051782377c
UniswapV3,0x0002854227c7d12f465af669395b4a42c70403a0680dd03dfb9c06154d756047,1696184567,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2,,18257446,0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,3371551866666666496,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,243492359898902411,0.0,407.71307473916244,0x3e6e23198679419cd73bb6376518dcc5168c8260
UniswapV3,0x0003791096103ac9cc5b65314013a5d08147d84a0f514e8f250b07663a764e98,1696140815,0x000c227e72d9ed7a35a09e260cdd5bd468dcd29b,,18253825,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,2303453,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,138658579293055813395,621.4974121278585,621.7395356829426,0x8f0cb37cdff37e004e0088f563e5fe39e05ccc5b
UniswapV3,0x0004915e1638d81fdd31fab82b3ec0a2b1ae3faea66c7eb3f82df8fff9d5d0a3,1696157099,0x29f33c22dfa42a3bd76a905e4af70604c4d6f6f5,,18255175,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1000000000000000000,0x822d9647ff6d028915dc9040e4ae54565eaf788c,FWEN,892877956909405926155936162,1686.7596036224177,1841.6906970905181,0xc3b41ca47e87bc73b974abdd84ed763d30c4d00e
UniswapV3,0x0005fa9c95b5ab1fcd3dd87190644c209e3b77f5b9373855c0c8ace6e6df1e66,1696154915,0x514796e94a64a5cec78cca14b813ee998bbcec9e,,18254993,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,100000000000000000,0x822d9647ff6d028915dc9040e4ae54565eaf788c,FWEN,163468112967559247702315181,168.66027944240673,0.0,0xc3b41ca47e87bc73b974abdd84ed763d30c4d00e
UniswapV3,0x00080768971859c6a0a65ae38a2c2233a25671eb4dba6ec37f565590837f85e4,1696218815,0xcb82422c14f2e35544cf066460e5ab974906f94e,,18260287,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,600000000000000000,0xe8a3bf796ca5a13283ec6b1c5b645b91d7cfef5d,ZVT,2907460818098818102363,1037.172295076476,1034.0356562874242,0x58fcd403610e772d68726b55183eb958a7581731
UniswapV3,0x0008deac60641a8a6cea07ac34d902e2f11b6d0a84701192a85855e3784fe653,1696161923,0x77751605f07209eb20d61a18724d07d3002d4247,,18255575,0x2e85ae1c47602f7927bcabc2ff99c40aa222ae15,KATA,675000000000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,169318122501147952,0.0,285.60089549055255,0x9507f5c18b0178bea743727ff00f1619f97e2bfb
UniswapV3,0x0008f6d57af9d374463a986c3e21ff12a7202692853e6af0f3dd8311ac8955ab,1696135739,0x32fc84ed4047437310c9540283bc28d587c7c72f,,18253404,0x4d224452801aced8b2f0aebe155379bb5d594381,APE,166492662572434992858,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,122701576506158950,205.96387199695042,205.34338497283593,0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf
