protocol,swaps_hash,swaps_timestamp,to,from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
UniswapV3,0x08648550022c34652e1d40bfa4bcf35101e2bc67a927ea707804d6fb06edbef3,1696439255,0x3ef9c488689dae71a314d86dbf0b2c9a90f00c8b,,18278543,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2957600197103045120,0xd1d2eb1b1e90b638588728b4130137d262c87cae,GALA,31277654007459,4845.055303698508,4825.74232404948,0x465e56cd21ad47d4d4790f17de5e0458f20c3719
UniswapV3,0x086806bd4cc50e3641fc265f6c15325be828c6b4e42bce10f25ed6367d1e600a,1696466819,0xfa7854afc596b29abeeff99acc2adb5724e7b9e4,,18280825,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,158600000,0x905f06debcd355809c0eabe2abc1332a5c7159cd,Goxc,18592069333476273295871,158.6,0.0,0xd3303b573867c3fc8c4fd4d65530f48e80dc1947
UniswapV3,0x08690231217143a8d4ed7747089e522de14a9061c0412481be8d19f0ff657f06,1696408319,0x202bb2fab1e35d940fde99b214ba49dafbcef62a,,18275983,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,70463302177652736,0x59d1e836f7b7210a978b25a855085cc46fd090b5,JUSTICE,5472812323908634518333036,115.63178953535714,0.0,0xfe7aff6f4f1b0d9f65767e96573e6df8b1ff5920
UniswapV3,0x086d4d7bca65c984061c1a5def612328eb654dddcb3808e788406d7877f4f5c9,1696472747,0xd5ca14eae7c134890429221b822fca937d5060c8,,18281317,0xed328e9c1179a30ddc1e7595e036aed8760c22af,MCADE,100000000000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,719522214,723.1156538185621,719.522214,0xa109209a2380fd4454b0364c4689f6de18ad18cc
UniswapV3,0x086f52045ea2e2b954c599345168808ddab2eedcaf702c2b2bef6f65a38df588,1696465259,0xe554997b3ad849058c73fd3c3bd4e0c18c77f217,,18280696,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,3292319429141259970230,3296.4408963389187,3292.31942914126,0x60594a405d53811d3bc4766596efd80fd545a270
UniswapV3,0x086ff631bbdc18f3dce6285f51eb6046dc4ea19ee04f047dbda6a505fd1ec4b1,1696435319,0x4d53dcd43b913445a8acf6b9fba00c204d24155c,,18278217,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,467447194,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,286205268164886122,467.447194,467.2748425257936,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
UniswapV3,0x086ff631bbdc18f3dce6285f51eb6046dc4ea19ee04f047dbda6a505fd1ec4b1,1696435319,0x4d53dcd43b913445a8acf6b9fba00c204d24155c,,18278217,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,286205268164886122,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,824309710303049924552,467.2748425257936,465.8558698029554,0x290a6a7460b308ee3f19023d2d00de604bcf5b42
UniswapV3,0x087171d8ff7b102d3bd7042bbeb8666340a3dceeda897f56a003e359c3a6b470,1696412423,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,,18276321,0x20561172f791f915323241e885b4f7d5187c36e1,CAL,123217292745955480050302,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2336152207417020786,3893.6619641481625,3840.3405501395737,0xd3b4f5b4cf06498e4fbdd71c9da4f5befe01a0ed
UniswapV3,0x0873a055ee19b5dfaa0592e3c0839c0971103a0799f6940afc86c142393be56f,1696432319,0x7dacfce9eacdca48cad5ba0b61560586c375890b,,18277969,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,7810855330,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,agEUR,7439413207976755635098,7810.85533,7815.551413320176,0x735a26a57a0a0069dfabd41595a970faf5e1ee8b
UniswapV3,0x0873a055ee19b5dfaa0592e3c0839c0971103a0799f6940afc86c142393be56f,1696432319,0x7dacfce9eacdca48cad5ba0b61560586c375890b,,18277969,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,agEUR,7439413207976755633801,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4778357258777483013,7815.551413320176,7800.537355418907,0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9
