protocol,swaps_hash,swaps_timestamp,to,from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
UniswapV3,0x0005eabbffb5ee15a22e50dbe33d17acfc5aab0a7cf4e794ec10e71b9ee827d5,1696311983,0xe1fe2b8bc66cf83a8ea9dc450849aa8c71f56367,,18268011,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,59475000000000000,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,WSM,1926910493238002096440,99.07537126603111,0.0,0x8a8c520b206cc3ab6fb77ffdc29b2825a37f674f
UniswapV3,0x0008a77b9e9311d8a2b8f3043a937d077682a6ea6a4d6b25c8272805b1664458,1696378091,0xfbe6ed1942b03ef4fba780890550db1f0c43bd32,,18273476,0xbe9895146f7af43049ca1c1ae358b0541ea49704,cbETH,14983800000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,15722260793606180718,26028.031610510956,26014.81606715099,0x840deeef2f115cf50da625f7368c24af6fe74410
UniswapV3,0x000eba5bf8fbb3e064b70c4b04b75018ba2c99931e73e046ca603523e4eee0ed,1696331111,0x42b9df65b219b3dd36ff330a4dd8f327a6ada990,,18269598,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,4000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,2411306536304469,4.0,4.003233091436195,0x11b815efb8f581194ae79006d24e0d814b7697f6
UniswapV3,0x000fd1943b6fe8b4f3f5adf092d161bd2c1eb637ff153eb4a36c503eae9fd655,1696375343,0x9a66e11d0c0d5f7ebaac003e65da4fd01bb39b80,,18273249,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,562000000000000000,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,RLB,5864834177841284349615,929.9147164254966,926.912896930529,0x510100d5143e011db24e2aa38abe85d73d5b2177
UniswapV3,0x00130c9ec09d41526f7210fdb7297966815037a30921790807805a858bf512e1,1696384907,0xa91cfc6993bbd7b093479c2445453c4e73bcb377,,18274043,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,PUNDIX,4000000000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,941297283480225098,1545.2030346497972,1542.0556026549316,0xd050430dd432876cf5622ff60c4dc106b64fa753
UniswapV3,0x00135351b120d70b105f744565a86bbb9e55f1f70f79bd33509d36dec2980629,1696375487,0xc83b29f780143fcbc44737e6ea9ff43ae39b917c,,18273261,0x6982508145454ce325ddbe47a25d4ec3d2311933,PEPE,11676289121902728297062596608,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,5100544722937668609,8467.037597159773,8439.608943738065,0x11950d141ecb863f01007add7d1a342041227b58
UniswapV3,0x001360c4f56ed1a34aeb26ef9ae16162a6b4a6833c1252663fa0608815151fe9,1696314191,0x07432d559fa617b6e23a516f9a6187440fbfb086,,18268195,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,366666666666666666,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,ARKM,1406236875051551555081,610.8051472194716,607.3552133313304,0x9cb91e5451d29c84b51ffd40df0b724b639bf841
UniswapV3,0x0018378a0d66dcadc61a79b033e134a95afb147c379e57f2f8d2ea7f5ca24116,1696328363,0xdd0ba0bead4b384fc0fef7ff44c27f39b86d0536,,18269373,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,714506497781923840,0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,WSM,22625791667433326077183,1188.0585059932375,1204.8465572252953,0x8a8c520b206cc3ab6fb77ffdc29b2825a37f674f
UniswapV3,0x001896320ef1f88f9537b0f212f62380df03a292b31be50945159ad7efa55c4d,1696353839,0xd418ba96f682464b765f5b522b884a6509964d6b,,18271469,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,311873967941757364,0x17ef75aa22dd5f6c2763b8304ab24f40ee54d48a,RVP,70000000000000000000000,515.3253001193494,0.0,0xefbd546647fda46067225bd0221e08ba91071584
UniswapV3,0x001b378d2a4418149d292bf5dad5e0b0588f2438f474c8b491af06b5c1466cd3,1696359647,0x8375c683690cc1c96e936e2759dc1b0570e95b27,,18271949,0x20561172f791f915323241e885b4f7d5187c36e1,CAL,95014863397228910887155,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1848047835351295057,3094.968162356542,3055.4821667559413,0xd3b4f5b4cf06498e4fbdd71c9da4f5befe01a0ed
