protocol,swaps_hash,swaps_timestamp,swaps_to,swaps_from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
Curve,0x0064368e32cec990d0faed0696e42c0349e86023e071cdd48554666ec7e232a9,1696290287,0x390f3595bca2df7d23783dfd126427cceb997bf4,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,18266216,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6004701004,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,6008637924695712078754,6004.701004,6003.375559601263,0x390f3595bca2df7d23783dfd126427cceb997bf4
Curve,0x008ab959f1c5261b6a364c329e039d4ab0e388e00da3fc90f741bc9750ffc35d,1696260719,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,18263761,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1868000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1868514778,1868.0,1868.514778,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7
Curve,0x008ac3817d41c4fa7d27857692fd2db24a3ec1001c66f42b834e55130838c452,1696237199,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,0xe37e799d5077682fa0a244d46e5649f71457bd09,18261810,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,14798000000,0x97de57ec338ab5d51557da3434828c5dbfada371,eUSD,14041337640142378561567,14798.0,0.0,0x880f2fb3704f1875361de6ee59629c6c6497a5e3
Curve,0x0092b5d35d1eb948360ea579e54653b35fb4292e76802f1210d54f4775eef080,1696240847,0x390f3595bca2df7d23783dfd126427cceb997bf4,0x8d8404f8cca4c8834ca3cab1e54887ae47724bee,18262112,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,3846289120243754071259,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,3841624522,3841.600647657742,3841.624522,0x390f3595bca2df7d23783dfd126427cceb997bf4
Curve,0x00c9919a6d6e0a86d6abf02df2e308d3363dbbef67926073db22f314f525cd26,1696251131,0xb7ecb2aa52aa64a717180e030241bc75cd946726,0x7e15eb462cdc67cf92af1f7102465a8f8c784874,18262966,0x18084fba666a33d37592fa2633fd49a74dd93a88,tBTC,4336558458865953174,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,435492596,116864.87356326773,122956.97955464,0xb7ecb2aa52aa64a717180e030241bc75cd946726
Curve,0x00de55a919a7bfd4b4866e113f9dbfbc419e16e51e9d258f24bdd9226b10bb31,1696291691,0x6e314039f4c56000f4ebb3a7854a84cc6225fb92,0xf0d4c12a5768d806021f80a262b4d39d26c58b8d,18266333,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,760000000000000000,0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,10133785190950833783,1258.104,1257.9472300907796,0x6e314039f4c56000f4ebb3a7854a84cc6225fb92
Curve,0x00f7975b6f8fd7bc0408dc71771ca79a290fe0597e0dbc99b87dcaaf96586f2f,1696296911,0x4dece678ceceb27446b35c672dc7d61f30bad69e,0xe37e799d5077682fa0a244d46e5649f71457bd09,18266765,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,15000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,14989312850,14986.863,14989.31285,0x4dece678ceceb27446b35c672dc7d61f30bad69e
Curve,0x016d0c99b7de28bc378f4214632c0024ab3cc5d44e02d3ed4e17c152a15e2f35,1696260683,0xc15f285679a1ef2d25f53d4cbd0265e1d02f2a92,0xe37e799d5077682fa0a244d46e5649f71457bd09,18263758,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,10000000000000000000,0x365accfca291e7d3914637abf1f7635db165bb09,FXN,1093208868067386528179,17174.62523,0.012025297548741251,0xc15f285679a1ef2d25f53d4cbd0265e1d02f2a92
Curve,0x01af6a7def11ae4e12f2fa6594e230f967f4c8e742363548ce68b5d403fe82d7,1696274843,0xc15f285679a1ef2d25f53d4cbd0265e1d02f2a92,0xe37e799d5077682fa0a244d46e5649f71457bd09,18264933,0x365accfca291e7d3914637abf1f7635db165bb09,FXN,157093318630642000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,1563263999956423168,0.00157093318630642,2581.511638968039,0xc15f285679a1ef2d25f53d4cbd0265e1d02f2a92
Curve,0x01b61b689d9596009d4ee33423306da7c33501bec5f1603431381a20453ec88e,1696232687,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0xd1742b3c4fbb096990c8950fa635aec75b30781a,18261434,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,8727830396851526725176,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,8726567143,8727.830396851527,8726.567143,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7
