protocol,swaps_hash,swaps_timestamp,swaps_to,swaps_from,swaps_blockNumber,swaps_tokenIn_id,swaps_tokenIn_symbol,swaps_amountIn,swaps_tokenOut_id,swaps_tokenOut_symbol,swaps_amountOut,swaps_amountInUSD,swaps_amountOutUSD,swaps_pool_id
Curve,0xe37cb689035b1ce66658fac82194684ade24d5954c2a22bcc861911606c59c6a,1696409267,0xdcef968d416a41cdac0ed8702fac8128a64241a2,0x0cfe5c777a7438c9dd8add53ed671cec7a5faee5,18276060,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,3333000000,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,3339719641382100958703,3333.0,3339.719641382101,0xdcef968d416a41cdac0ed8702fac8128a64241a2
Curve,0xe3ab2d52e81905c99d94b061f0b6f92f6df83f1b10eaa21805f724c7f529a077,1696443299,0x1033812efec8716bbae0c19e5678698d25e26edf,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,18278878,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,3Crv,562045079664427106068,0xc7d9c108d4e1dd1484d3e2568d7f74bfd763d356,XSTUSD,675179295050612879584,562.0450796644271,675.1792950506128,0x1033812efec8716bbae0c19e5678698d25e26edf
Curve,0xe3ad545426dd37437616f7bf06c89f064a21c25b913c7fec097d9eb881e046ae,1696427327,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0x4a14347083b80e5216ca31350a2d21702ac3650d,18277556,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,200000000000000000000000,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,199959915820,200000.0,199959.91582,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7
Curve,0xe3bf9fad1dbce92d1066d96e840a04bc93f0d32ce634f8636cc4de3245e9278e,1696431503,0xd51a44d3fae010294c616388b506acda1bfaae46,0xfa9a30350048b2bf66865ee20363067c66f67e58,18277901,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,198222405,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,121344855023878956,198.222405,199.7886158780823,0xd51a44d3fae010294c616388b506acda1bfaae46
Curve,0xe3fa9e3e085e5c4ee9c5687cf56d0090dd1933912c68d6a6e260c2d4a013a552,1696453703,0x2673099769201c08e9a5e63b25fbaf25541a6557,0xf0d4c12a5768d806021f80a262b4d39d26c58b8d,18279739,0xdf3ac4f479375802a821f7b7b46cd7eb5e4262cc,eUSD,1475249106532765999999,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,1493918653,0.0,1493.918653,0x2673099769201c08e9a5e63b25fbaf25541a6557
Curve,0xe45a536ae40e453b7fed96e80497f4a50412fba5890ce42eff48c3a604557ab6,1696413167,0xdcef968d416a41cdac0ed8702fac8128a64241a2,0xe37e799d5077682fa0a244d46e5649f71457bd09,18276383,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,27845000000,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,27900811076299402184718,27845.0,27900.811076299404,0xdcef968d416a41cdac0ed8702fac8128a64241a2
Curve,0xe46d58651e80455d1aa31a6e7f04dbf11f9af84bb95bf2becd5648df2793dd74,1696421771,0xd51a44d3fae010294c616388b506acda1bfaae46,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,18277095,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,7786653963,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,4727042454926514799,7786.653963,7782.853826648475,0xd51a44d3fae010294c616388b506acda1bfaae46
Curve,0xe4adb467bdc0995aaa1ada4764f01131433e77be69c10186b4f10efa414ff158,1696440215,0x6e314039f4c56000f4ebb3a7854a84cc6225fb92,0x9008d19f58aabd9ed0d60971565aa8510560ab41,18278623,0xc55126051b22ebb829d00368f4b12bde432de5da,BTRFLY,895470989157376576,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,66103768488796340,108.826751392545,107.93996372419696,0x6e314039f4c56000f4ebb3a7854a84cc6225fb92
Curve,0xe4b44555d1aafc754ca246d4df51dead19b82d79b67f568b40fcd69ae2a65ad2,1696402163,0xd51a44d3fae010294c616388b506acda1bfaae46,0xfa9a30350048b2bf66865ee20363067c66f67e58,18275474,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,94917369082286190,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,155373825,155.71953736901708,155.373825,0xd51a44d3fae010294c616388b506acda1bfaae46
Curve,0xe4d63224aca3317dd41a6def5fcff8f1afbb9d06c879be521d120b4a16d5376e,1696448123,0x390f3595bca2df7d23783dfd126427cceb997bf4,0x4619b39706f6eca70d820b27df877fafaaa40f41,18279278,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,crvUSD,15880743365931216813353,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,15864748603,15863.34601157384,15864.748603,0x390f3595bca2df7d23783dfd126427cceb997bf4
